Datetime,SCATS Number,Flow
2006-10-02 17:30:00,970,1232.0
2006-10-02 17:45:00,970,1289.0
2006-10-02 18:00:00,970,1097.0
2006-10-02 18:15:00,970,1124.0
2006-10-02 18:30:00,970,900.0
2006-10-02 18:45:00,970,734.0
2006-10-02 19:00:00,970,737.0
2006-10-02 19:15:00,970,650.0
2006-10-02 19:30:00,970,560.0
2006-10-02 19:45:00,970,515.0
2006-10-02 20:00:00,970,443.0
2006-10-02 20:15:00,970,423.0
2006-10-02 20:30:00,970,398.0
2006-10-02 20:45:00,970,419.0
2006-10-02 21:00:00,970,370.0
2006-10-02 21:15:00,970,318.0
2006-10-02 21:30:00,970,320.0
2006-10-02 21:45:00,970,331.0
2006-10-02 22:00:00,970,319.0
2006-10-02 22:15:00,970,277.0
2006-10-02 22:30:00,970,210.0
2006-10-02 22:45:00,970,172.0
2006-10-02 23:00:00,970,190.0
2006-10-02 23:15:00,970,145.0
2006-10-02 23:30:00,970,133.0
2006-10-02 23:45:00,970,72.0
2006-10-03 00:00:00,970,64.0
2006-10-03 00:15:00,970,74.0
2006-10-03 00:30:00,970,58.0
2006-10-03 00:45:00,970,37.0
2006-10-03 01:00:00,970,33.0
2006-10-03 01:15:00,970,35.0
2006-10-03 01:30:00,970,29.0
2006-10-03 01:45:00,970,33.0
2006-10-03 02:00:00,970,29.0
2006-10-03 02:15:00,970,20.0
2006-10-03 02:30:00,970,26.0
2006-10-03 02:45:00,970,13.0
2006-10-03 03:00:00,970,17.0
2006-10-03 03:15:00,970,19.0
2006-10-03 03:30:00,970,25.0
2006-10-03 03:45:00,970,27.0
2006-10-03 04:00:00,970,29.0
2006-10-03 04:15:00,970,28.0
2006-10-03 04:30:00,970,47.0
2006-10-03 04:45:00,970,40.0
2006-10-03 05:00:00,970,55.0
2006-10-03 05:15:00,970,82.0
2006-10-03 05:30:00,970,122.0
2006-10-03 05:45:00,970,227.0
2006-10-03 06:00:00,970,276.0
2006-10-03 06:15:00,970,422.0
2006-10-03 06:30:00,970,566.0
2006-10-03 06:45:00,970,710.0
2006-10-03 07:00:00,970,884.0
2006-10-03 07:15:00,970,1054.0
2006-10-03 07:30:00,970,1226.0
2006-10-03 07:45:00,970,1255.0
2006-10-03 08:00:00,970,1288.0
2006-10-03 08:15:00,970,1274.0
2006-10-03 08:30:00,970,1269.0
2006-10-03 08:45:00,970,1246.0
2006-10-03 09:00:00,970,1089.0
2006-10-03 09:15:00,970,983.0
2006-10-03 09:30:00,970,959.0
2006-10-03 09:45:00,970,866.0
2006-10-03 10:00:00,970,804.0
2006-10-03 10:15:00,970,832.0
2006-10-03 10:30:00,970,858.0
2006-10-03 10:45:00,970,786.0
2006-10-03 11:00:00,970,819.0
2006-10-03 11:15:00,970,828.0
2006-10-03 11:30:00,970,820.0
2006-10-03 11:45:00,970,797.0
2006-10-03 12:00:00,970,852.0
2006-10-03 12:15:00,970,786.0
2006-10-03 12:30:00,970,847.0
2006-10-03 12:45:00,970,813.0
2006-10-03 13:00:00,970,820.0
2006-10-03 13:15:00,970,792.0
2006-10-03 13:30:00,970,840.0
2006-10-03 13:45:00,970,821.0
2006-10-03 14:00:00,970,837.0
2006-10-03 14:15:00,970,1101.0
2006-10-03 14:30:00,970,870.0
2006-10-03 14:45:00,970,888.0
2006-10-03 15:00:00,970,997.0
2006-10-03 15:15:00,970,1014.0
2006-10-03 15:30:00,970,1012.0
2006-10-03 15:45:00,970,1090.0
2006-10-03 16:00:00,970,1173.0
2006-10-03 16:15:00,970,1163.0
2006-10-03 16:30:00,970,1197.0
2006-10-03 16:45:00,970,1144.0
2006-10-03 17:00:00,970,1209.0
2006-10-03 17:15:00,970,1206.0
2006-10-03 17:30:00,970,1257.0
2006-10-03 17:45:00,970,1277.0
2006-10-03 18:00:00,970,1178.0
2006-10-03 18:15:00,970,1206.0
2006-10-03 18:30:00,970,983.0
2006-10-03 18:45:00,970,878.0
2006-10-03 19:00:00,970,813.0
2006-10-03 19:15:00,970,767.0
2006-10-03 19:30:00,970,586.0
2006-10-03 19:45:00,970,530.0
2006-10-03 20:00:00,970,505.0
2006-10-03 20:15:00,970,455.0
2006-10-03 20:30:00,970,414.0
2006-10-03 20:45:00,970,431.0
2006-10-03 21:00:00,970,434.0
2006-10-03 21:15:00,970,452.0
2006-10-03 21:30:00,970,397.0
2006-10-03 21:45:00,970,389.0
2006-10-03 22:00:00,970,345.0
2006-10-03 22:15:00,970,278.0
2006-10-03 22:30:00,970,293.0
2006-10-03 22:45:00,970,265.0
2006-10-03 23:00:00,970,231.0
2006-10-03 23:15:00,970,178.0
2006-10-03 23:30:00,970,134.0
2006-10-03 23:45:00,970,112.0
2006-10-04 00:00:00,970,70.0
2006-10-04 00:15:00,970,64.0
2006-10-04 00:30:00,970,66.0
2006-10-04 00:45:00,970,33.0
2006-10-04 01:00:00,970,42.0
2006-10-04 01:15:00,970,27.0
2006-10-04 01:30:00,970,30.0
2006-10-04 01:45:00,970,24.0
2006-10-04 02:00:00,970,19.0
2006-10-04 02:15:00,970,23.0
2006-10-04 02:30:00,970,24.0
2006-10-04 02:45:00,970,11.0
2006-10-04 03:00:00,970,15.0
2006-10-04 03:15:00,970,12.0
2006-10-04 03:30:00,970,17.0
2006-10-04 03:45:00,970,22.0
2006-10-04 04:00:00,970,26.0
2006-10-04 04:15:00,970,31.0
2006-10-04 04:30:00,970,38.0
2006-10-04 04:45:00,970,28.0
2006-10-04 05:00:00,970,45.0
2006-10-04 05:15:00,970,80.0
2006-10-04 05:30:00,970,130.0
2006-10-04 05:45:00,970,184.0
2006-10-04 06:00:00,970,238.0
2006-10-04 06:15:00,970,385.0
2006-10-04 06:30:00,970,543.0
2006-10-04 06:45:00,970,625.0
2006-10-04 07:00:00,970,716.0
2006-10-04 07:15:00,970,905.0
2006-10-04 07:30:00,970,923.0
2006-10-04 07:45:00,970,1049.0
2006-10-04 08:00:00,970,1011.0
2006-10-04 08:15:00,970,976.0
2006-10-04 08:30:00,970,1045.0
2006-10-04 08:45:00,970,1009.0
2006-10-04 09:00:00,970,893.0
2006-10-04 09:15:00,970,791.0
2006-10-04 09:30:00,970,768.0
